Product/VAC name,CSVs generated,Testload,Available CasJobs,Metadata added?,Publish to BestDR20,SQL,CSV,Downloaded CSV,Notes,CSV reloading finished?,VAC Announcement,DB table Name(s),Extra indices needed,Spatial search needed?
astraAllStarLineForest,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/lineforest_star.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllStarLineForest.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllStarLineForest.csv,,,,line_forest_boss_star,,
astraAllVisitLineForest,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/lineforest_visit.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllVisitLineForest.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllVisitLineForest.csv,,,,line_forest_boss_visit,,
astraAllStarMDwarfType,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/mdwarftype_star.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllStarMDwarfType.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllStarMDwarfType.csv,,,,m_dwarf_type_boss_star,,
astraAllVisitMDwarfType,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/mdwarftype_visit.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllVisitMDwarfType.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllVisitMDwarfType.csv,,,,m_dwarf_type_boss_visit,,
astraAllStarSlam,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/slam_star.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllStarSlam.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllStarSlam.csv,,,,slam_boss_star,,
astraAllStarSnowWhite,TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/snowwhite_star.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/astraAllStarSnowWhite.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\astraAllStarSnowWhite.csv,,,,snow_white_boss_star,,
mwmTargets,TRUE,TRUE,TRUE,FALSE,TRUE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/mwm_targets.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/mwmTargets.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\mwmTargets.csv,,,,mwm_targets,,
mwmAllStar (boss),TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/mwm_boss_allstar.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/mwmAllStar.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\mwmAllStar.csv,,,,mwm_boss_allstar,,
mwmAllVisit (boss),TRUE,TRUE,FALSE,FALSE,FALSE,https://github.com/sdss/casload/tree/astra_DR20/sql/astra/mwm_boss_allvisit.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/asCSV/mwmAllVisit_boss.csv,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\asCSV\mwmAllVisit_boss.csv,,,,mwm_boss_allvisit,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
allspec,TRUE,TRUE,TRUE,FALSE,TRUE,https://github.com/sdss/casload/blob/DR20_allspec/sql/allspec.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/allspecCSV/allspec-dr20-1.0.2.csv ,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\allspecCSV\allspec.csv,,,,allspec,,
multiplex,TRUE,TRUE,TRUE,FALSE,TRUE,https://github.com/sdss/casload/blob/DR20_allspec/sql/allspec.sql,/uufs/chpc.utah.edu/common/home/sdss/dr20/data/cas-load/allspecCSV/multiplex-dr20-1.0.2.csv ,\\SDSS4C\d$\sql_db\staging\sdss5\casload\dr20\allspecCSV\multiplex.csv,,,,multiplex,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
APOGEE (copied from last year),TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,
