name,ra,dec,B,BErr,nB_tot,nB,V,VErr,nV_tot,nV,R,RErr,nR_tot,nR,I,IErr,nI_tot,nI,vary,objID
N1851-S1237,78.67325,-40.11648,21.741,,,21,21.156,,,27,,,,0,20.376,,,28,0.036,
N1851-S1238,78.67356,-40.05003,20.976,,,26,20.462,,,27,,,,0,19.778,,,30,0.007,
N1851-S1240,78.67419,-40.03584,22.116,,,20,21.444,,,26,,,,0,20.648,,,27,0.021,
N1851-S1241,78.67436,-40.12255,22.198,,,18,21.510,,,27,,,,0,20.686,,,27,-0.001,
N1851-S1242,78.67443,-40.11306,20.983,,,26,20.484,,,27,,,,0,19.787,,,30,0.007,
N1851-S1243,78.67427,-39.97935,21.362,,,23,20.828,,,27,,,,0,20.085,,,28,0.037,
N1851-S1244,78.67423,-39.96265,20.838,,,25,20.337,,,27,,,,0,19.657,,,30,0.009,
N1851-S1245,78.67499,-39.95777,,,,0,21.682,,,25,,,,0,20.798,,,26,0.016,
N1851-S1247,78.67597,-40.07495,20.786,,,26,20.293,,,28,,,,0,19.630,,,30,-0.004,
N1851-S1249,78.67593,-39.97212,18.760,,,29,17.928,,,27,,,,0,17.038,,,30,0.006,
N1851-S125,78.56655,-40.10166,20.829,,,34,20.316,,,38,,,,0,19.660,,,38,0.049,
N1851-S1250,78.67629,-40.10486,20.144,,,30,19.694,,,28,,,,0,19.038,,,31,0.007,
N1851-S1251,78.67649,-40.03495,,,,0,21.778,,,24,,,,0,20.929,,,26,0.031,
N1851-S1252,78.67679,-39.98965,19.480,,,29,18.959,,,27,,,,0,18.233,,,30,0.005,
N1851-S1253,78.67702,-40.04598,18.579,,,30,17.828,,,28,,,,0,16.925,,,31,0.007,
N1851-S1254,78.67742,-40.07752,21.666,,,20,21.084,,,26,,,,0,20.324,,,27,-0.006,
N1851-S1255,78.67738,-39.95963,21.001,,,25,20.493,,,27,,,,0,19.790,,,30,-0.012,
N1851-S1256,78.67778,-39.93507,,,,0,21.845,,,18,,,,0,20.936,,,26,-0.004,
N1851-S1258,78.67814,-39.97474,21.953,,,20,21.323,,,27,,,,0,20.551,,,27,0.021,
N1851-S1259,78.67839,-40.02982,21.701,,,21,21.100,,,27,,,,0,20.332,,,28,0.005,
N1851-S126,78.56669,-40.13242,21.097,,,33,20.580,,,37,,,,0,19.902,,,37,-0.002,
N1851-S1260,78.67863,-40.09210,21.974,,,20,21.350,,,27,,,,0,20.553,,,27,0.029,
N1851-S1261,78.67922,-40.05323,21.375,,,21,20.826,,,27,,,,0,20.080,,,30,-0.012,
N1851-S1262,78.67952,-39.98581,20.895,,,25,20.414,,,27,,,,0,19.705,,,30,0.013,
N1851-S1263,78.67970,-40.04188,17.195,,,29,16.441,,,28,,,,0,15.543,,,31,0.008,
N1851-S1264,78.67948,-39.94395,21.320,,,22,20.764,,,27,,,,0,20.030,,,29,0.005,
N1851-S1265,78.67984,-40.09334,22.041,,,20,21.420,,,27,,,,0,20.590,,,27,-0.001,
N1851-S1266,78.68009,-40.08785,21.297,,,23,20.755,,,27,,,,0,20.033,,,29,0.017,
N1851-S1267,78.68034,-40.01541,17.256,,,28,15.955,,,28,,,,0,14.461,,,31,0.002,
N1851-S1269,78.68084,-39.99881,22.099,,,19,20.640,,,27,,,,0,18.574,,,30,-0.001,
N1851-S127,78.56590,-40.10311,16.464,,,40,16.420,,,39,,,,0,16.366,,,38,0.004,
N1851-S1271,78.68184,-39.98810,21.534,,,22,20.977,,,27,,,,0,20.228,,,28,0.015,
N1851-S1272,78.68292,-40.00671,21.897,,,20,21.260,,,27,,,,0,20.451,,,27,0.005,
N1851-S1273,78.68289,-39.99486,21.397,,,21,20.838,,,26,,,,0,20.108,,,28,0.006,
N1851-S1274,78.68335,-40.11908,21.777,,,20,21.156,,,27,,,,0,20.352,,,27,-0.001,
N1851-S1275,78.68317,-39.95131,21.953,,,20,21.319,,,27,,,,0,20.515,,,28,0.003,
N1851-S1276,78.68350,-40.02161,21.378,,,21,20.840,,,27,,,,0,20.081,,,28,0.018,
N1851-S1277,78.68416,-40.08209,20.089,,,27,19.667,,,28,,,,0,19.055,,,28,0.002,
N1851-S1278,78.68413,-40.02631,20.593,,,25,20.125,,,28,,,,0,19.457,,,27,0.008,
N1851-S1279,78.68451,-40.06368,,,,0,21.774,,,23,,,,0,20.951,,,24,-0.003,
N1851-S128,78.56581,-40.09819,19.577,,,40,18.949,,,39,,,,0,18.162,,,38,0.002,
N1851-S1280,78.68534,-40.08674,,,,0,21.736,,,23,,,,0,20.892,,,25,0.006,
N1851-S1281,78.68508,-39.94799,21.433,,,21,21.010,,,27,,,,0,20.356,,,27,0.027,
N1851-S1282,78.68544,-40.09753,,,,0,20.768,,,28,,,,0,18.428,,,28,-0.004,
N1851-S1283,78.68545,-39.97411,,,,0,21.677,,,24,,,,0,20.835,,,26,0.021,
N1851-S1284,78.68645,-40.11531,21.217,,,22,20.692,,,24,,,,0,19.977,,,24,-0.001,
N1851-S1285,78.68643,-40.09127,22.179,,,19,21.529,,,24,,,,0,20.707,,,24,0.014,
N1851-S1286,78.68660,-40.01861,20.648,,,23,20.175,,,24,,,,0,19.515,,,24,0.000,
N1851-S1287,78.68714,-40.14051,21.077,,,14,20.562,,,9,,,,0,19.853,,,11,0.021,
